time,t2m,d2m,strd,tp,sp,ssrd,Ws
26-Dec-2019 20:00:00,263.431291392158,261.655402046235,17423049.6733058,0.00362766663132685,63328.071050022,7540273.53009934,0.694417465756637
26-Dec-2019 21:00:00,263.357704922016,261.468222203957,18188949.2707224,0.00369698510198915,63285.3453558822,7540273.53009934,0.675627788628466
26-Dec-2019 22:00:00,262.560267868026,260.831810740212,18954848.868139,0.00376052703342958,63252.8366755585,7540273.53009934,0.81792268302094
26-Dec-2019 23:00:00,261.937035518863,260.192404398991,19708395.2462424,0.0038413985825356,63250.050217245,7540273.53009934,0.931246289816847
27-Dec-2019 00:00:00,261.540569638913,259.770126674811,20432683.9996567,0.00393959974930719,63285.3453558822,7540273.53009934,1.01936176113989
27-Dec-2019 01:00:00,262.404084339561,259.970783465733,769609.70027696,0.000144413480546446,63330.8575083355,133309.920681182,0.905668789958702
27-Dec-2019 02:00:00,262.956733747976,260.424507403415,1549162.85588177,0.000329262735645902,63379.1561191022,717780.275403228,0.963497625653905
27-Dec-2019 03:00:00,265.641889025817,262.726070744066,2365125.49998856,0.000514111990745358,63416.3088966151,1881763.17787984,0.357584188586445
27-Dec-2019 04:00:00,266.646569607962,263.456820848319,3232451.52966063,0.000687408167401093,63399.5901467343,3092018.94538629,0.208601096849407
27-Dec-2019 05:00:00,267.59418313163,264.067775853514,3968443.33295057,0.000837598187169414,63315.0675778925,5292183.50406665,0.234122884793035
27-Dec-2019 06:00:00,268.330047833051,264.418176518259,4726540.89711672,0.000976235128494013,63256.5519533098,7605826.75555827,0.302915190270295
27-Dec-2019 07:00:00,268.309023127296,265.056085420742,5462532.70040666,0.00120152015814648,63214.7550786078,9662214.91218165,0.326371426778777
27-Dec-2019 08:00:00,268.109288422625,264.952762147805,6256389.58363725,0.00143835826624264,63184.1040371597,11150107.8698671,0.384736327902715
27-Dec-2019 09:00:00,267.480049014674,265.129459918915,7044394.94193002,0.00170407907044812,63188.7481343488,12079421.2425496,0.3979440126418
27-Dec-2019 10:00:00,266.787735489459,265.08303931803,7835651.14741047,0.00200445910998473,63224.9720924238,12420959.055865,0.237745360404932
27-Dec-2019 11:00:00,266.095421964244,264.807510590197,8593748.71157661,0.00227595645341208,63275.1283420662,12431425.5372408,0.302070205596801
27-Dec-2019 12:00:00,265.933231376992,264.503530526337,9443520.16643523,0.00248968840462083,63305.7793835143,12431425.5372408,0.43245295536262
27-Dec-2019 13:00:00,265.865651965637,264.073765608467,10287440.096356,0.00260521918905798,63293.7047308226,12431425.5372408,0.475608422741922
27-Dec-2019 14:00:00,265.700457848991,263.602072405927,11065692.9130858,0.00265720804205469,63289.0606336335,12431425.5372408,0.569809908117047
27-Dec-2019 15:00:00,265.427136674177,263.175302365533,11840044.7131903,0.00268609073816398,63282.5588975688,12431425.5372408,0.696076713923587
27-Dec-2019 16:00:00,265.080229029221,262.812922190883,12579287.3636679,0.00270919689505142,63252.8366755585,12431425.5372408,0.849093509213544
27-Dec-2019 17:00:00,264.824929030769,262.429577873897,13351688.6554598,0.00272074997349514,63233.3314673642,12431425.5372408,0.980810740629157
27-Dec-2019 18:00:00,264.527579620807,261.989330884859,14174152.993942,0.00274385613038258,63198.9651481648,12431425.5372408,1.0556505368535
27-Dec-2019 19:00:00,264.435971974303,260.324179007954,14981013.2659233,0.00280739806182301,63165.5276484033,12431425.5372408,1.13504619395036
27-Dec-2019 20:00:00,265.038179617712,260.132506849462,15824283.0264065,0.00307889540525033,63133.9477875174,12431425.5372408,1.13645200011341
27-Dec-2019 21:00:00,265.380581968577,260.05763491255,16655849.7370142,0.00329840389568095,63090.2932739398,12431425.5372408,1.0620537319985
27-Dec-2019 22:00:00,265.73349667232,260.125019655771,17516674.0723109,0.00354679508222083,63056.8557741782,12431425.5372408,1.04460553529393
27-Dec-2019 23:00:00,266.038354905767,260.379584241269,18380749.2547953,0.00373742087654216,63077.2898018102,12431425.5372408,0.982356263735318
28-Dec-2019 00:00:00,266.308672551187,260.64013858172,19266280.0287184,0.00382406896487003,63119.0866765122,12431425.5372408,0.972871443758577
28-Dec-2019 01:00:00,265.784556672011,260.325676446693,874937.149157677,0.000213731951208745,63159.9547317763,103563.078876287,1.01101098136981
28-Dec-2019 02:00:00,266.584997255394,261.385863073355,1757867.2453306,0.00034659235331147,63221.2568146726,568495.198937938,0.955499550288838
28-Dec-2019 03:00:00,267.750366660095,262.850358159338,2615440.73343964,0.000427463902417491,63289.9894530713,1599168.18073337,0.911251604508508
28-Dec-2019 04:00:00,268.981813711454,263.308574413235,3482116.59367418,0.00045634659852678,63282.5588975688,3029770.92457235,0.757470112142624
28-Dec-2019 05:00:00,269.590028413649,263.272635883517,4300679.91553111,0.000514111990745358,63242.6196617425,5049250.96266003,0.751463857139708
28-Dec-2019 06:00:00,270.072094881315,263.254666618659,5089985.61269895,0.000537218147632801,63210.1109814187,7272551.95385531,0.628247416103607
28-Dec-2019 07:00:00,270.141176057367,261.138785681548,5760310.30279783,0.000594983539851379,63166.4564678411,9541024.07519875,0.456475903992454
28-Dec-2019 08:00:00,269.573509001984,262.573331992767,6461843.1258984,0.000716290863510383,63198.9651481648,11287273.8626341,0.552735677071097
28-Dec-2019 09:00:00,269.034375475841,263.02555849171,7152323.06856088,0.000837598187169414,63233.3314673642,12429222.0674775,0.707144964930706
28-Dec-2019 10:00:00,268.221920774883,262.103136228964,7799241.65890849,0.000976235128494013,63269.5554254393,12872670.3573467,0.922074939931874
28-Dec-2019 11:00:00,267.140650193202,261.228632005842,8418202.96344208,0.00110331899137489,63336.4304249624,12888094.64569,1.09414918928933
28-Dec-2019 12:00:00,266.132966081664,260.012711750404,9017659.18484962,0.00115530784437159,63366.1526469727,12888094.64569,1.32734065845172
28-Dec-2019 13:00:00,265.165829616938,258.50628837975,9597610.32313109,0.00117841400125904,63386.5866746048,12888094.64569,1.40190101027163
28-Dec-2019 14:00:00,264.197191387515,256.818674921772,10160006.8865991,0.00118996707970276,63407.0207022368,12888094.64569,1.49672153897579
